Ano;LPA;P_L;VPA;P_VP;P_EBIT;P_EBITDA;P_Ativos;Ebitda;Marg_Ebitda;PSR;ROE;ROA;ROIC;EV_EBIT;EV_EBITDA;Div_Yield;Div_Payout;Beta;Valorizacao;Negocios_dia;Volume_diario;Ticker
2013;0.83;4.32;6.41;0.56;1.22;0.67;0.09;9565.0;0.34;0.23;0.13;0.02;0.08;8.0;4.42;0.2256;0.86;1.2;-0.5;12700;49;OIBR4
2014;-5.13;-1.68;22.49;0.38;1.3;0.72;0.07;10210.0;0.36;0.26;-0.23;-0.04;0.06;7.5;4.17;0.0;0.0;0.83;-0.75;13123;69;OIBR4
2015;-6.48;-0.3;17.45;0.11;0.6;0.21;0.02;7794.0;0.28;0.06;-0.37;-0.06;0.04;19.43;6.74;0.0;-0.01;1.05;-0.77;6621;20;OIBR4
2016;-8.62;-0.26;15.08;0.15;30.46;0.29;0.02;6377.0;0.25;0.07;-0.57;-0.09;0.0;815.66;7.8;0.0;-0.01;0.58;0.22;3493;16;OIBR4
2017;-8.06;-0.43;-16.36;-0.21;-1.21;1.04;0.04;2748.0;0.12;0.12;0.49;-0.1;-0.04;-24.13;20.73;0.0;-0.01;0.83;0.5;2551;15;OIBR4
2018;10.02;0.13;9.32;0.14;-0.59;5.7;0.05;543.0;0.02;0.14;1.08;0.38;-0.09;-4.03;39.07;0.0;0.0;0.73;-0.63;1653;5;OIBR4
2019;-1.53;-0.81;2.99;0.41;-2.46;1.88;0.1;3897.0;0.19;0.36;-0.51;-0.13;-0.05;-8.5;6.5;0.0;0.0;0.56;-0.05;2005;5;OIBR4
2020;-1.77;-1.59;1.3;2.16;-9.27;6.64;0.23;2530.0;0.27;1.81;-1.36;-0.14;-0.03;-17.33;12.4;0.0;0.0;0.61;1.27;3671;19;OIBR4
2021;-1.31;-1.68;0.72;3.05;-7.03;2.22;0.18;5875.0;0.87;1.92;-1.82;-0.11;-0.03;-18.56;5.86;0.0;0.0;1.11;-0.27;1671;10;OIBR4
2009;-1.69;-16.26;16.43;1.67;-15.4;22.69;0.68;731.0;0.07;1.52;-0.1;-0.04;-0.05;-10.86;15.99;0.0;-0.26;0.24;-0.5;58;1;OIBR3
2010;3.27;4.69;18.8;0.82;3.76;2.63;0.34;3516.0;0.34;0.9;0.17;0.07;0.12;3.93;2.75;0.0;0.0;0.53;-0.45;172;2;OIBR3
2011;1.67;6.99;17.56;0.67;4.5;2.7;0.22;2612.0;0.28;0.76;0.1;0.03;0.07;6.61;3.97;0.025699999999999997;0.46;0.66;-0.22;148;1;OIBR3
2012;0.99;9.21;6.3;1.45;3.46;2.06;0.24;7988.0;0.32;0.65;0.16;0.03;0.08;7.53;4.49;0.16699999999999998;1.35;0.74;-0.13;2037;6;OIBR3
2013;0.83;4.34;6.41;0.56;1.23;0.68;0.09;9565.0;0.34;0.23;0.13;0.02;0.08;8.0;4.42;0.22440000000000002;0.86;1.4;-0.55;4357;9;OIBR3
2014;-5.13;-1.78;22.49;0.41;1.38;0.77;0.08;10210.0;0.36;0.28;-0.23;-0.04;0.06;7.5;4.17;0.0;0.0;0.79;-0.74;2481;9;OIBR3
2015;-6.48;-0.37;17.45;0.14;0.73;0.25;0.02;7794.0;0.28;0.07;-0.37;-0.06;0.04;19.43;6.74;0.0;-0.01;1.02;-0.74;2492;5;OIBR3
2016;-8.62;-0.31;15.08;0.17;35.6;0.34;0.03;6377.0;0.25;0.08;-0.57;-0.09;0.0;815.66;7.8;0.0;-0.01;0.62;0.09;3760;10;OIBR3
